0.42105,2,5,87.62,0.95,0.05206,1.91,2.45,0,1042,0.15789,8,4,55.845,1.83,0.151,1.17,1.72,0,1808,0.42105,15,2,14.0067,3.04,-0.07,0.75,0.75,1.55,63.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,3,6,144.24,1.14,0.5,1.64,2.64,0,1294,0.5,14,4,72.64,2.01,1.23271,1.22,1.52,0,1211.5,0.3,9,5,102.9055,2.28,1.14289,1.25,1.83,0,2236,0,0,0,0,0,0,0,0,0,0,20,8.49199,-6.29097,8
0.09091,2,5,87.62,0.95,0.05206,1.91,2.45,0,1042,0.18182,13,5,114.818,1.78,0.404,1.44,2,1.93,429.78,0.36364,14,4,72.64,2.01,1.23271,1.22,1.52,0,1211.5,0.36364,9,6,192.217,2.2,1.56436,1.27,1.87,0,2720,0,0,0,0
0.66667,10,5,106.42,2.2,0.56214,1.28,1.79,1.63,1825,0.33333,15,2,14.0067,3.04,-0.07,0.75,0.75,1.55,63.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.13333,1,5,85.4678,0.82,0.48592,2.16,2.98,0,312.63,0.1,14,4,72.64,2.01,1.23271,1.22,1.52,0,1211.5,0.2,13,2,10.811,2.04,0.27972,0.82,1.17,0,2365,0.56667,16,2,15.9994,3.44,1.46111,0.73,0.65,1.52,54.8,60,3.47898,-6.90295,2
0.125,13,5,114.818,1.78,0.404,1.44,2,1.93,429.78,0.125,13,4,69.723,1.81,0.41,1.26,1.81,1.87,302.92,0.25,13,6,204.3833,2.04,0.377,1.48,2.08,1.96,577,0.5,16,4,78.96,2.55,2.02067,1.16,1.22,1.9,494,0,0,0,0
0.33333,3,5,88.90585,1.22,0.307,1.62,2.27,0,1795,0.33333,15,5,121.76,2.05,1.0474,1.4,1.53,0,903.91,0.33333,10,6,195.078,2.28,2.1251,1.3,1.83,1.75,2042.1,0,0,0,0,0,0,0,0,0,0,3,9.26482,-6.76862,24
0.05556,1,4,39.0983,0.82,0.50146,2.03,2.77,2.75,336.8,0.05556,11,6,196.96655,2.54,2.30861,1.34,1.79,1.66,1337.58,0.22222,17,5,126.90447,2.66,3.05904,1.33,1.32,1.98,386.7,0.66667,16,2,15.9994,3.44,1.46111,0.73,0.65,1.52,54.8,18,4.90476,-4.33414,1
0.2,2,3,24.305,1.31,0,1.36,1.72,1.73,922,0.2,7,4,54.93805,1.55,0,1.17,1.79,0,1518,0.6,16,2,15.9994,3.44,1.46111,0.73,0.65,1.52,54.8,0,0,0,0,0,0,0,0,0,0,10,4.18166,-6.73418,6
0.25,1,4,39.0983,0.82,0.50146,2.03,2.77,2.75,336.8,0.125,15,3,30.97376,2.19,0.7465,1.06,1.23,1.8,317.3,0.125,11,6,196.96655,2.54,2.30861,1.34,1.79,1.66,1337.58,0.5,16,3,32.065,2.58,2.0771,1.02,1.09,1.8,392.2,16,3.24833,-4.19383,4
